requests,request-interval,request-popularity,bytes,delivery-time,hit-rate,nodes,contents,label
19,612.278,1,16.27569901,3.473684211,1,3,17,0
13,4.123384615,1,72.57910156,2723.692308,0.923076923,3,11,0
10587,7.102326585,0.857293759,24.15688428,28.64277813,0.782724194,5,1445,1
47,6.38512766,1,8.472780918,18.40425532,0.978723404,3,43,0
25,633.607,1,10.68019531,9.6,0.96,1,10,0
1,0,1,0,2,1,1,1,0
1,0,1,0,6,1,1,1,0
48,979.7103125,0.875,20.07796224,133.5833333,0.75,2,38,0
9,0.146444444,1,29.6672092,6.111111111,0.888888889,1,9,0
5,14.9434,1,80.75,15,1,2,5,0
182,42.63579121,1,3.327915737,14.71428571,1,3,92,0
2,1.131,1,114.7636719,1134,1,1,2,0
11766,6.400769287,0.559493292,0.244776343,114.4062227,0.057513687,13,11765,1
11,0.848545455,1,1680.907759,115.6363636,0.909090909,2,6,0
1,0,1,0,4,1,1,1,0
4,24.45125,0.625,857.1533203,568,0.75,2,4,0
14,0.070785714,1,19.07240513,31.64285714,1,1,14,0
1,0,0.5,105.7705078,914,0,1,1,0
4,0.00325,1,24.23071289,3.25,1,1,4,0
373,89.76083646,0.990616622,25.53347541,300.1876676,0.978552279,5,242,0
34,1.825735294,1,2051.109375,413.0294118,0.970588235,4,26,0
2,0.0845,0.5,182.6967773,70.5,0.5,1,1,0
11,10.13490909,1,14.32173295,16.72727273,1,3,10,0
28,13.85960714,1,1002.281738,3641.821429,1,4,21,0
1,0,1,0,2,1,1,1,0
2,11412.4755,1,187.9619141,37533,0.5,2,2,0
1,0,1,0,2,1,1,1,0
1,0,1,292.5332031,273,1,1,1,0
803,72.86818182,0.962017435,255.4892019,627.3287671,0.864259029,2,305,0
1,0,1,0,3,1,1,1,0
2,18534.332,1,0,2.5,1,2,1,0
1,0,1,0,2,1,1,1,0
1,0,1,0,4,1,1,1,0
3,0.002333333,1,0.918619792,5,0.666666667,1,3,0
8,0.088125,1,32.85754395,59.375,1,1,8,0
75,75.34158667,1,10.07813802,44.69333333,1,1,68,0
12,2.478666667,1,872.6184896,2139.5,1,3,12,0
25,26.57652,1,64.42738281,61.16,1,3,15,0
1,0,0,0,708,0,1,1,0
